geonameid	name	asciiname	alternatenames	latitude	longitude	feature class	feature code	country code	cc2	admin1 code	admin2 code	admin3 code	admin4 code	population	elevation	gtopo30	timezone	modification date
4045497	Black Mountain	Black Mountain		52.88083	173.12139	T	MT	US		AK	016			0		343	America/Adak	2010-01-30
4045498	Bird Rock	Bird Rock		51.65917	178.63111	T	ISL	US		AK	016			0		-9999	America/Adak	2010-01-30
4045499	Bamboo Bay	Bamboo Bay		52.06667	177.51667	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045500	Ballentine Creek	Ballentine Creek		52.9837	173.064	H	STM	US		AK	016			0		-9999	America/Adak	2010-01-30
4045501	Attu Island	Attu Island		52.9025	172.90944	T	ISL	US		AK	016			0		439	America/Adak	2010-01-30
4045502	Artillery Hill	Artillery Hill		52.8525	173.18333	T	MT	US		AK	016			0		65	America/Adak	2010-01-30
4045503	Alexai Creek	Alexai Creek		52.82917	173.31056	H	STM	US		AK	016			0		15	America/Adak	2010-01-30
4045504	Akuchin Rocks	Akuchin Rocks		52.7	173.5	T	ISL	US		AK	016			0		-9999		2010-01-30
4045505	Aga Cove	Aga Cove		52.425	173.70444	H	BAY	US		AK	016			0		1	America/Nome	2010-01-30
4045506	Abraham-Temnac Pass	Abraham-Temnac Pass		52.87694	172.90417	T	GAP	US		AK	016			0		416	America/Adak	2010-01-30
4045507	Abraham Valley	Abraham Valley		52.88301	172.79743	T	VAL	US		AK	016			0		-9999	America/Adak	2010-01-30
4045508	Agattu Island	Agattu Island		52.43528	173.57556	T	ISL	US		AK	016			0		236	America/Adak	2010-01-30
4045509	Alexai Beach	Alexai Beach		52.82611	173.29306	T	BCH	US		AK	016			0		15	America/Adak	2010-01-30
4045510	Amchitka	Amchitka		51.56722	178.8775	P	PPL	US		AK	016			0		30	America/Adak	2010-01-30
4045511	April Inlet	April Inlet		51.86194	177.2625	H	BAY	US		AK	016			0		48	America/Adak	2010-01-30
4045512	Artist Creek	Artist Creek		51.84583	177.29306	H	STM	US		AK	016			0		25	America/Adak	2010-01-30
4045513	Autumn Bight	Autumn Bight		51.91944	177.37083	H	BAY	US		AK	016			0		18	America/Adak	2010-01-30
4045514	Barley Cove	Barley Cove		52.0125	177.5	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045515	Birch Beach	Birch Beach		52.97778	172.97083	T	BCH	US		AK	016			0		-9999	America/Adak	2010-01-30
4045516	Blonde Cove	Blonde Cove		52.98028	172.96833	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045517	Broad Beach	Broad Beach		52.05417	177.5125	T	BCH	US		AK	016			0		-9999	America/Adak	2010-01-30
4045518	Buchanan Ridge	Buchanan Ridge		52.9291	173.0612	T	RDGE	US		AK	016			0		668	America/Adak	2010-01-30
4045519	Chichagof Harbor	Chichagof Harbor		52.93194	173.24222	H	BAY	US		AK	016			0		1	America/Adak	2010-01-30
4045520	Chirikof Point	Chirikof Point		52.83472	173.41278	T	CAPE	US		AK	016			0		152	America/Adak	2010-01-30
4045521	Chuniksak Point	Chuniksak Point		52.79444	172.74444	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045522	Cobra Peninsula	Cobra Peninsula		51.925	177.46667	T	CAPE	US		AK	016			0		42	America/Adak	2010-01-30
4045523	Cornfield Ridge	Cornfield Ridge		51.96667	177.46667	T	RDGE	US		AK	016			0		356	America/Adak	2010-01-30
4045524	Cyril Cove	Cyril Cove		51.44944	179.21722	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045525	Casco Cove	Casco Cove		52.815	173.16556	H	BAY	US		AK	016			0		1	America/Nome	2010-01-30
4045526	Duk Cove	Duk Cove		51.41806	179.14167	H	BAY	US		AK	016			0		31	America/Adak	2010-01-30
4045527	Buzzard Rock	Buzzard Rock		52.04167	177.49444	T	ISL	US		AK	016			0		-9999	America/Adak	2010-01-30
4045528	East-northeast Indent	East-northeast Indent		51.99444	179.71111	H	BAY	US		AK	016			0		1	America/Adak	2010-01-30
4045529	Elliott Beach	Elliott Beach		52.76806	172.94972	T	BCH	US		AK	016			0		87	America/Adak	2010-01-30
4045530	Etienne Bay	Etienne Bay		52.89806	172.58222	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045531	Fan Lake	Fan Lake		51.88889	177.32278	H	LK	US		AK	016			0		129	America/Adak	2010-01-30
4045532	Farmer Hill	Farmer Hill		51.88806	177.30417	T	MT	US		AK	016			0		168	America/Adak	2010-01-30
4045533	Fern Creek	Fern Creek		51.91167	177.35361	H	STM	US		AK	016			0		52	America/Adak	2010-01-30
4045534	Fishhook Ridge	Fishhook Ridge		52.92083	173.19333	T	RDGE	US		AK	016			0		381	America/Adak	2010-01-30
4045535	Fossil Mountain	Fossil Mountain		51.92917	177.33333	T	MT	US		AK	016			0		75	America/Adak	2010-01-30
4045536	Franklin Hill	Franklin Hill		52.84167	172.97222	T	MT	US		AK	016			0		193	America/Adak	2010-01-30
4045537	Funeral Ridge	Funeral Ridge		51.91944	177.32222	T	RDGE	US		AK	016			0		262	America/Adak	2010-01-30
4045538	Gainor Beach	Gainor Beach		52.08194	173.11389	T	BCH	US		AK	016			0		-9999		2010-01-30
4045539	Gillon Point	Gillon Point		52.40722	173.36278	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045540	Golstov Point	Golstov Point		52.96667	173.13333	T	CAPE	US		AK	016			0		381	America/Adak	2010-01-30
4045541	Grey Lake	Grey Lake		51.93139	177.46389	H	LK	US		AK	016			0		30	America/Adak	2010-01-30
4045542	Hammerhead Island	Hammerhead Island		52.72472	174.04417	T	ISL	US		AK	016			0		-9999	America/Adak	2010-01-30
4045543	Hoelsher Creek	Hoelsher Creek		52.80572	172.9963	H	STM	US		AK	016			0		5	America/Adak	2010-01-30
4045544	Point Hope	Point Hope		52.91361	173.3025	T	CAPE	US		AK	016			0		1	America/Adak	2010-01-30
4045545	Jackass Pass	Jackass Pass		52.85556	173.25528	T	GAP	US		AK	016			0	-1	229	America/Adak	2010-09-05
4045546	Jim Fish Valley	Jim Fish Valley		52.89722	173.21667	T	VAL	US		AK	016			0		47	America/Adak	2010-01-30
4045547	Kemp Hill	Kemp Hill		51.96889	177.35417	T	MT	US		AK	016			0		-9999	America/Adak	2010-01-30
4045548	Key Hill	Key Hill		51.94167	177.35	T	MT	US		AK	016			0		198	America/Adak	2010-01-30
4045549	Kirilof Wharf	Kirilof Wharf		51.40833	179.29167	S	WHRF	US		AK	016			0		-9999	America/Adak	2010-02-18
4045550	Kiss Hill	Kiss Hill		51.93944	177.36667	T	MT	US		AK	016			0		259	America/Adak	2010-01-30
4045551	Lame Creek	Lame Creek		51.93889	177.43083	H	STM	US		AK	016			0		15	America/Adak	2010-01-30
4045552	Lantern Creek	Lantern Creek		51.98694	177.48111	H	STM	US		AK	016			0		-9999	America/Adak	2010-01-30
4045553	Latch Hill	Latch Hill		51.975	177.37917	T	MT	US		AK	016			0		69	America/Adak	2010-01-30
4045554	Leaf Hills	Leaf Hills		51.96417	177.49167	T	MTS	US		AK	016			0		379	America/Adak	2010-01-30
4045555	Legend Hills	Legend Hills		51.94167	177.41667	T	MTS	US		AK	016			0		110	America/Adak	2010-01-30
4045556	Leuel Lake	Leuel Lake		51.9375	177.38417	H	LK	US		AK	016			0		188	America/Adak	2010-01-30
4045557	Lemon Creek	Lemon Creek		51.98667	177.45222	H	STM	US		AK	016			0		-9999	America/Adak	2010-01-30
4045558	Little Abraham River	Little Abraham River		52.89151	172.78713	H	STM	US		AK	016			0		1	America/Adak	2010-01-30
4045559	Locust Hill	Locust Hill		51.9425	177.43806	T	MT	US		AK	016			0		127	America/Adak	2010-01-30
4045560	Look Lake	Look Lake		51.96111	177.43611	H	LK	US		AK	016			0		222	America/Adak	2010-01-30
4045561	Loud Hill	Loud Hill		51.97222	177.45639	T	MT	US		AK	016			0		307	America/Adak	2010-01-30
4045562	Loyd Hill	Loyd Hill		51.96472	177.47972	T	MT	US		AK	016			0		412	America/Adak	2010-01-30
4045563	Major Ridge	Major Ridge		51.95694	177.52778	T	RDGE	US		AK	016			0		179	America/Adak	2010-01-30
4045564	Maneuver Hills	Maneuver Hills		52.00278	177.52222	T	MTS	US		AK	016			0		118	America/Adak	2010-01-30
4045565	Marble Hill	Marble Hill		51.97083	177.53194	T	MT	US		AK	016			0		3	America/Adak	2010-01-30
4045566	Massacre Beach	Massacre Beach		52.85528	173.21139	T	BCH	US		AK	016			0		1	America/Adak	2010-01-30
4045567	Menace Creek	Menace Creek		52.00139	177.53944	H	STM	US		AK	016			0		129	America/Adak	2010-01-30
4045568	Meteor Hill	Meteor Hill		51.95333	177.55556	T	MT	US		AK	016			0		80	America/Adak	2010-01-30
4045569	Middle Reef	Middle Reef		51.99167	176.01667	T	BAR	US		AK	016			0		-9999		2010-01-30
4045570	Mill Hill	Mill Hill		52.00833	177.51111	T	MT	US		AK	016			0		72	America/Adak	2010-01-30
4045571	Monolith Point	Monolith Point		52.46583	173.69917	T	CAPE	US		AK	016			0		1	America/Adak	2010-01-30
4045572	Morgan Hill	Morgan Hill		52.01667	177.52361	T	MT	US		AK	016			0		177	America/Adak	2010-01-30
4045573	Tiger Cove	Tiger Cove		51.96417	177.64833	H	BAY	US		AK	016			0		1	America/Adak	2010-01-30
4045574	Near Islands	Near Islands		52.80056	173.13167	T	ISL	US		AK	016			0		359	America/Adak	2010-01-30
4045575	Nizki Island	Nizki Island		52.74111	173.98556	T	ISL	US		AK	016			0		23	America/Adak	2010-01-30
4045576	North Pass	North Pass		52.84667	173.085	T	GAP	US		AK	016			0		137	America/Adak	2010-01-30
4045577	Northwest Head	Northwest Head		51.9875	178.4625	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045578	O'Donnell Creek	O'Donnell Creek		52.91778	173.15194	H	STM	US		AK	016			0		-9999	America/Adak	2010-01-30
4045579	Peaceful River	Peaceful River		52.82519	173.18225	H	STM	US		AK	016			0		8	America/Adak	2010-01-30
4045580	Perret Ridge	Perret Ridge		51.96694	179.67361	T	RDGE	US		AK	016			0		592	America/Adak	2010-01-30
4045581	Pillow Point	Pillow Point		51.36111	179.32306	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045582	Prendergat Ridge	Prendergat Ridge		52.89722	173.14611	T	RDGE	US		AK	016			0		581	America/Adak	2010-01-30
4045583	Rattlesnake Lake	Rattlesnake Lake		52.05417	177.54111	H	LK	US		AK	016			0		56	America/Adak	2010-01-30
4045584	Red Head	Red Head		52.9925	172.90361	T	CLF	US		AK	016			0		-9999	America/Adak	2010-01-30
4045585	Riddle Hills	Riddle Hills		52.03889	177.52917	T	MTS	US		AK	016			0		143	America/Adak	2010-01-30
4045586	Risk Hill	Risk Hill		52.03472	177.50833	T	MT	US		AK	016			0		-9999	America/Adak	2010-01-30
4045587	Rooster Hills	Rooster Hills		52.02361	177.51944	T	MTS	US		AK	016			0		177	America/Adak	2010-01-30
4045588	Cape Sabak	Cape Sabak		52.35833	173.72667	T	CAPE	US		AK	016			0		1	America/Adak	2010-01-30
